Num,Direction,Elevator,Floor,Garden,Layout,Region,Price,Renovation,Size,Year,UnitPrice
191,南,,高楼层(共7层),静安恬园,3室2厅,静安,849.0,精装,137.25,1995.0,6.185792349726776
192,南,有电梯,中楼层(共16层),环球翡翠湾花园(公寓),2室2厅,浦东,550.0,精装,94.46,1995.0,5.8225704001693845
193,南,有电梯,中楼层(共12层),经纬阳光水岸家园(一期),1室2厅,宝山,305.0,精装,60.14,1995.0,5.071499833721317
194,南,有电梯,低楼层(共33层),中凯城市之光(徐汇),4室2厅,徐汇,4500.0,精装,403.91,1995.0,11.14109578866579
195,南,有电梯,低楼层(共25层),临沂大楼,2室2厅,浦东,510.0,其他,88.27,1995.0,5.777727427211963
196,南,无电梯,低楼层(共6层),申江豪城,2室2厅,浦东,570.0,简装,91.22,1995.0,6.248629686472265
197,南,有电梯,低楼层(共11层),大华清水湾,4室2厅,普陀,1400.0,简装,193.73,1995.0,7.2265524183141485
198,南北,有电梯,高楼层(共13层),印象春城,2室2厅,浦东,405.0,简装,89.95,1995.0,4.502501389660923
199,南,无电梯,高楼层(共6层),沁秋小区,2室1厅,长宁,275.0,精装,50.54,1995.0,5.441234665611397
200,南,有电梯,低楼层(共20层),江临天下,3室2厅,浦东,1150.0,精装,129.75,1995.0,8.863198458574182
201,西北,无电梯,低楼层(共6层),香楠小区,2室1厅,浦东,355.0,精装,71.76,1995.0,4.947045707915273
202,南,有电梯,低楼层(共23层),虹桥衡园,3室2厅,闵行,950.0,精装,147.15,1995.0,6.455997281685355
203,南,有电梯,高楼层(共33层),城市方园,2室1厅,杨浦,330.0,精装,69.81,1995.0,4.727116458960034
204,南,有电梯,低楼层(共16层),金桥瑞仕花园,3室3厅,浦东,1600.0,精装,292.31,1995.0,5.473640997571072
205,南,有电梯,低楼层(共30层),尚海湾豪庭,5室2厅,徐汇,2750.0,精装,267.79,1995.0,10.269240823032973
206,南,有电梯,中楼层(共18层),永兆豪庭,3室2厅,徐汇,850.0,毛坯,128.36,1995.0,6.622000623247117
207,南,无电梯,高楼层(共6层),紫叶花园,1室1厅,浦东,240.0,简装,48.3,1995.0,4.9689440993788825
208,南,有电梯,高楼层(共24层),东上海中心,2室1厅,杨浦,620.0,精装,85.97,1995.0,7.211818076073049
209,南,无电梯,高楼层(共6层),沁秋小区,2室1厅,长宁,330.0,精装,58.9,1995.0,5.602716468590832
210,南,无电梯,高楼层(共6层),汪家井小区,1室1厅,普陀,212.0,精装,45.57,1995.0,4.652183454026772
211,南,有电梯,低楼层(共29层),馨宁公寓,1室0厅,徐汇,240.0,其他,42.29,1995.0,5.675100496571294
212,南,无电梯,中楼层(共4层),永嘉新村,2室1厅,徐汇,1090.0,精装,89.3,1995.0,12.206047032474805
213,南,有电梯,低楼层(共20层),中海御景熙岸(公寓),3室2厅,浦东,393.0,精装,88.82,1995.0,4.424679126322901
214,南,无电梯,高楼层(共6层),紫荆新苑,3室2厅,黄浦,840.0,简装,119.04,1995.0,7.056451612903225
215,南北,有电梯,高楼层(共24层),四和花园,3室1厅,静安,808.0,精装,94.63,1995.0,8.538518440240939
216,南,无电梯,中楼层(共5层),同润加州(公寓),3室2厅,松江,415.0,毛坯,136.84,1995.0,3.0327389652148495
217,南,无电梯,低楼层(共4层),祝和苑,1室1厅,浦东,150.0,其他,53.0,1995.0,2.830188679245283
218,南,,高楼层(共29层),荣和怡景园,2室1厅,普陀,340.0,精装,65.0,1995.0,5.230769230769231
219,南北,无电梯,高楼层(共6层),四平路幸福村,2室1厅,虹口,325.0,精装,55.52,1995.0,5.8537463976945245
220,南,,高楼层(共18层),同润蓝美俊庭,2室2厅,浦东,185.0,毛坯,92.46,1995.0,2.00086523902228
221,南,有电梯,中楼层(共11层),中鼎豪园,3室2厅,普陀,715.0,毛坯,138.32,1995.0,5.169172932330827
222,南,有电梯,中楼层(共21层),香梅花园,3室2厅,浦东,1300.0,精装,159.01,1995.0,8.175586441104334
223,南西北,有电梯,中楼层(共17层),保利叶语(二期)(公寓),4室2厅,宝山,620.0,毛坯,123.42,1995.0,5.023497002106628
224,南,有电梯,高楼层(共14层),浦润苑,2室2厅,闵行,256.0,毛坯,82.94,1995.0,3.086568603809983
225,南,,高楼层(共6层),佳乐苑,3室2厅,青浦,309.0,毛坯,124.34,1995.0,2.4851214412095866
226,南,无电梯,中楼层(共6层),樱花坊,2室2厅,浦东,625.0,简装,77.49,1995.0,8.065556846044652
227,南北,无电梯,中楼层(共7层),泰宸苑,2室2厅,普陀,470.0,精装,86.0,1995.0,5.465116279069767
228,南,有电梯,高楼层(共22层),爱家亚洲花园,2室2厅,浦东,750.0,简装,118.88,1995.0,6.308882907133244
229,南北,无电梯,高楼层(共6层),杉林新月环林东路879弄,3室1厅,浦东,345.0,简装,74.44,1995.0,4.634605051047824
230,南,,高楼层(共26层),翔和雅苑,2室2厅,嘉定,250.0,毛坯,70.46,1995.0,3.5481124042009653
231,南北,有电梯,中楼层(共11层),新浦江城(江栀路350弄),2室2厅,闵行,530.0,毛坯,89.69,1995.0,5.909242947931765
232,南北,有电梯,中楼层(共28层),金瓯万国大厦,3室2厅,黄浦,1050.0,精装,126.32,1995.0,8.31222292590247
233,南,有电梯,高楼层(共19层),米兰诺贵都,2室2厅,松江,310.0,精装,87.53,1995.0,3.5416428653033245
234,南,,高楼层(共18层),翔和雅苑,2室1厅,嘉定,255.0,毛坯,69.6,1995.0,3.6637931034482762
235,南,有电梯,中楼层(共14层),浦润苑,2室2厅,闵行,261.0,毛坯,80.22,1995.0,3.2535527299925207
236,南北,有电梯,低楼层(共11层),永泰花苑,2室1厅,浦东,348.0,简装,73.16,1995.0,4.756697648988519
237,南,,高楼层(共8层),保集澜湾(公寓),3室2厅,浦东,645.0,毛坯,123.33,1995.0,5.229871077596692
238,南,有电梯,低楼层(共20层),绿地清猗园(威廉公馆),2室2厅,嘉定,410.0,毛坯,86.99,1995.0,4.713185423611909
239,南,无电梯,低楼层(共6层),景峰苑,2室1厅,上海周边,310.0,简装,61.59,1995.0,5.033284624127293
240,南,有电梯,低楼层(共18层),嘉秀新苑,2室2厅,嘉定,420.0,简装,85.89,1995.0,4.88997555012225
241,南,无电梯,高楼层(共6层),昕泰苑,3室2厅,浦东,710.0,其他,135.48,1995.0,5.2406259226454095
242,南,有电梯,中楼层(共13层),保利金爵公寓,3室1厅,浦东,440.0,其他,83.36,1995.0,5.278310940499041
243,南,有电梯,低楼层(共18层),大华锦绣华城(四街区),2室2厅,浦东,550.0,毛坯,94.37,1995.0,5.82812334428314
244,南北,有电梯,中楼层(共11层),城中花园,3室2厅,浦东,520.0,精装,122.2,1995.0,4.25531914893617
245,东南,有电梯,中楼层(共33层),新湖明珠城,3室2厅,普陀,1330.0,毛坯,179.91,1995.0,7.392585181479629
246,南北,有电梯,高楼层(共19层),达安花园,3室2厅,静安,898.0,精装,121.11,1995.0,7.414746924283709
247,南,有电梯,中楼层(共24层),鑫隆花园,2室1厅,徐汇,415.0,其他,89.87,1995.0,4.617781239568265
248,南,无电梯,高楼层(共6层),证大家园(二期),2室2厅,浦东,589.0,精装,84.52,1995.0,6.968764789398959
249,东南,有电梯,低楼层(共26层),阳光威尼斯(三期),2室1厅,普陀,315.0,简装,77.95,1995.0,4.041051956382296
250,南,有电梯,低楼层(共14层),经纬学府涵青花园(二期),2室2厅,宝山,416.0,精装,95.28,1995.0,4.3660789252728796
251,南,有电梯,中楼层(共18层),莱顿小城,2室2厅,松江,280.0,精装,85.78,1995.0,3.264164140825367
252,西,有电梯,高楼层(共49层),世茂滨江花园,3室2厅,浦东,2190.0,精装,237.93,1995.0,9.204387845164543
253,南,有电梯,低楼层(共14层),上海绿城,3室2厅,浦东,1000.0,精装,125.61,1995.0,7.9611495900007965
254,南北,无电梯,高楼层(共6层),成亿家园,2室2厅,闵行,608.0,简装,107.13,1995.0,5.675347708391674
255,东南,有电梯,中楼层(共34层),佳安公寓,3室2厅,徐汇,988.0,精装,167.37,1995.0,5.903088964569516
256,南,无电梯,高楼层(共6层),三林安居苑,2室1厅,浦东,320.0,精装,64.0,1995.0,5.0
257,南,有电梯,中楼层(共29层),天际花园,3室2厅,徐汇,1500.0,精装,152.44,1995.0,9.839937024403044
258,南,有电梯,高楼层(共18层),黄浦丽园,2室2厅,黄浦,1090.0,精装,104.0,1995.0,10.48076923076923
259,南北,无电梯,中楼层(共6层),杉林新月环林东路879弄,2室1厅,浦东,388.0,其他,73.49,1995.0,5.279629881616547
260,南西北,,中楼层(共7层),静安恬园,3室2厅,静安,870.0,精装,146.13,1995.0,5.953602956271813
261,西南,有电梯,低楼层(共38层),融创滨江壹号院,3室2厅,黄浦,2300.0,精装,217.91,1995.0,10.554816208526455
262,南,,低楼层(共23层),大名城名郡,3室2厅,嘉定,285.0,精装,88.0,1995.0,3.2386363636363638
263,南北,无电梯,高楼层(共6层),川杨新苑(三期),2室2厅,浦东,350.0,简装,87.37,1995.0,4.005951699668078
264,东北,有电梯,低楼层(共22层),世纪之门,2室2厅,普陀,605.0,简装,91.62,1995.0,6.603361711416721
265,西南,有电梯,高楼层(共4层),金桥酒店公寓,1室1厅,浦东,400.0,精装,63.79,1995.0,6.270575325286095
266,南北,有电梯,低楼层(共17层),福源汇居,2室2厅,徐汇,1100.0,精装,120.93,1995.0,9.096171338791036
267,东南,有电梯,低楼层(共35层),江临天下,4室2厅,浦东,1648.0,精装,197.07,1995.0,8.362510782970519
268,南,有电梯,高楼层(共16层),奥林匹克花园,2室2厅,松江,335.0,精装,81.7,1995.0,4.100367197062424
269,南,有电梯,中楼层(共28层),襄阳公寓,2室2厅,徐汇,1260.0,精装,111.89,1995.0,11.261059969613013
270,南,无电梯,高楼层(共6层),万科假日风景(公寓),2室2厅,闵行,560.0,简装,91.8,1995.0,6.1002178649237475
271,暂无数据,无电梯,低楼层(共6层),紫叶花园东园,2室1厅,浦东,355.0,简装,68.65,1995.0,5.17115804806992
272,南,无电梯,中楼层(共6层),十字街大楼,3室2厅,浦东,220.0,毛坯,94.81,1995.0,2.3204303343529165
273,北,,低楼层(共30层),华丽家族汇景天地(商业类),1室1厅,黄浦,300.0,精装,68.09,1995.0,4.40593332354237
274,南,无电梯,低楼层(共6层),水霞小区,2室1厅,长宁,372.0,简装,49.0,1995.0,7.591836734693878
275,东南,有电梯,中楼层(共25层),仁恒河滨花园,4室2厅,长宁,1470.0,精装,163.1,1995.0,9.012875536480687
276,南,无电梯,高楼层(共6层),南方新村,1室1厅,闵行,240.0,简装,47.43,1995.0,5.0600885515496525
277,南,有电梯,低楼层(共32层),香港丽园,3室2厅,虹口,785.0,精装,112.65,1995.0,6.968486462494451
278,南,有电梯,低楼层(共14层),碧林湾(公寓),3室2厅,闵行,710.0,精装,129.0,1995.0,5.503875968992248
279,南,有电梯,低楼层(共29层),馨宁公寓,2室1厅,徐汇,335.0,其他,62.4,1995.0,5.368589743589744
280,南,有电梯,低楼层(共18层),大华锦绣华城(十五街区),3室2厅,浦东,830.0,精装,101.0,1995.0,8.217821782178218
